source,target,n
1778,2259,5
1214,1235,2
1781,2263,2
337,2264,4
2235,2264,5
894,2265,2
1619,2265,2
920,2325,3
1403,2325,4
1519,2325,3
72,2283,2
877,2283,2
1909,2283,2
1324,2285,3
853,2285,3
917,2288,2
923,2288,2
111,2479,3
276,2479,5
1722,2479,17
1257,2479,4
1275,2479,2
1324,2479,27
7400,2479,7
905,2479,39
1763,2479,2
1679,2479,2
1276,2291,5
1928,2291,4
118,2299,3
1324,2299,2
1735,2299,4
1751,2299,4
1996,2300,2
1374,2302,2
1545,2302,2
1772,2302,2
450,2307,2
1324,2307,2
1030,2308,6
1686,2308,2
264,2745,10
276,2745,2
405,2745,2
956,2745,3
2810,2745,2
1131,2745,3
1324,2745,16
1506,2745,2
7400,2745,7
717,2745,11
905,2745,58
1677,2745,21
1687,2745,4
2108,2745,3
2479,2745,2
1807,2326,2
58,2328,2
914,2329,4
1324,2329,7
682,2329,6
1710,2329,27
1,2331,19
988,2331,6
989,2331,3
994,2331,2
1324,2331,72
682,2331,22
1710,2331,3
2108,2331,45
2329,2331,3
989,2332,3
994,2332,3
1324,2332,2
1339,2332,2
2331,2332,2
1324,2336,7
2516,2337,2
1085,2337,3
1730,2337,4
1367,2338,3
1520,2338,7
1751,2338,3
40,2341,3
192,2344,3
264,2344,5
405,2344,4
1324,2344,2
718,2344,3
905,2344,8
1677,2344,2
1815,2344,3
1971,2344,3
2158,2344,3
2745,2344,3
1505,2345,3
1676,2345,2
1324,2347,2
7400,2347,3
905,2347,6
1,2349,7
51,2349,3
1062,2349,13
1262,2349,4
1324,2349,3
682,2349,4
1928,2349,3
1072,2350,4
1324,2350,5
1550,2350,5
914,2354,2
962,2354,2
1359,2354,2
2100,2354,2
399,2365,2
1324,2365,3
1505,2365,4
905,2365,19
1716,2365,2
173,2360,2
1043,2360,2
119,2363,2
1993,2363,2
2055,2363,2
218,2364,2
1456,2364,2
111,2367,4
1257,2367,2
2479,2367,5
335,2369,3
1710,2369,3
279,2370,6
905,2370,2
645,2355,3
1638,2355,2
962,2380,2
998,2380,2
1461,2380,2
2183,2381,2
2183,2383,2
2381,2383,2
329,2384,2
1084,2384,4
1324,2384,2
1512,2384,6
1523,2384,3
1621,2384,4
463,2386,3
502,2386,4
973,2386,2
1324,2386,6
682,2386,18
1710,2386,5
1803,2386,9
1813,2386,13
2149,2386,2
1727,2388,2
228,2391,4
1520,2391,4
2144,2391,2
2338,2391,2
843,2392,2
2120,2447,2
1232,2400,2
1572,2400,2
2075,2400,2
58,2401,4
487,2401,4
1216,2401,7
1324,2401,2
616,2401,11
682,2401,8
1803,2401,3
2082,2401,2
2143,2401,2
582,2402,4
1324,2403,2
799,2403,7
585,2406,2
496,2406,2
505,2406,2
893,2406,2
2099,2406,2
2106,2406,2
2171,2406,2
1114,2409,2
647,2409,2
1340,2410,2
38,2412,5
102,2412,2
318,2412,2
463,2412,4
994,2412,6
1324,2412,6
682,2412,3
872,2412,7
1751,2412,6
1841,2412,2
2119,2412,3
585,2413,2
496,2413,2
505,2413,2
893,2413,2
2006,2413,3
2099,2413,2
2106,2413,2
2171,2413,2
2406,2413,2
1232,2418,2
1572,2418,2
2075,2418,2
2400,2418,2
